"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"The Balrog, Durin's Bane","BR","R","4315","2.14","2121","2.15","10147","56.3%","1535","58.9%","2623","59.0%","4158","58.9%","5981","54.4%","4.6pp"
"Bilbo, Retired Burglar","UR","U","25217","4.28","6933","4.90","27502","56.9%","4764","61.0%","8265","61.2%","13029","61.1%","14375","53.0%","8.1pp"
"Butterbur, Bree Innkeeper","WG","U","28405","4.75","3909","6.53","11842","50.8%","1917","49.1%","3063","53.9%","4980","52.1%","6816","49.8%","2.3pp"
"Denethor, Ruling Steward","WB","U","21487","3.49","6706","3.96","29966","56.5%","5059","57.7%","7970","61.9%","13029","60.3%","16899","53.6%","6.7pp"
"Doors of Durin","RG","R","6531","3.41","1470","3.89","4361","52.2%","733","54.0%","1052","56.6%","1785","55.5%","2570","49.9%","5.6pp"
"Elrond, Master of Healing","UG","R","5051","2.67","1498","2.60","5232","49.8%","860","55.1%","1564","54.4%","2424","54.7%","2767","45.7%","9.0pp"
"Éowyn, Fearless Knight","WR","R","4448","2.31","2217","2.26","10406","58.2%","1767","63.6%","2441","64.6%","4208","64.2%","6102","53.8%","10.4pp"
"Faramir, Prince of Ithilien","WU","R","3933","2.16","2214","2.02","10684","56.3%","1772","66.1%","3146","65.4%","4918","65.7%","5651","48.0%","17.7pp"
"Flame of Anor","UR","R","6336","3.14","2283","3.27","8784","54.7%","1483","57.3%","3046","60.3%","4529","59.4%","4526","50.4%","8.9pp"
"Friendly Rivalry","RG","U","35109","5.98","4534","8.52","8896","52.7%","1399","50.0%","2116","57.5%","3515","54.5%","5372","51.6%","2.9pp"
"Frodo Baggins","WG","U","23708","3.94","4778","4.79","18057","54.1%","3074","63.0%","4648","58.1%","7722","60.1%","10155","49.4%","10.7pp"
"Galadriel of Lothlórien","UG","R","5376","2.79","1497","2.79","5220","49.9%","906","52.8%","1577","54.2%","2483","53.6%","2707","46.4%","7.2pp"
"Gandalf the Grey","UR","R","4648","2.38","1996","2.39","8505","53.3%","1449","52.4%","2899","57.7%","4348","55.9%","4401","51.1%","4.9pp"
"Gandalf's Sanction","UR","U","28397","4.75","8073","5.39","33865","56.3%","5618","53.2%","11880","63.3%","17498","60.0%","16858","52.5%","7.5pp"
"Gimli, Mournful Avenger","RG","R","8398","3.99","1302","5.50","2639","49.1%","442","50.9%","626","51.1%","1068","51.0%","1562","47.6%","3.4pp"
"Gwaihir the Windlord","WU","U","32292","5.48","4266","7.94","8005","49.3%","1218","48.2%","2503","52.2%","3721","50.9%","4212","47.6%","3.3pp"
"King of the Oathbreakers","WB","R","4355","2.18","2156","2.13","9455","55.1%","1528","57.0%","2465","58.4%","3993","57.9%","5358","52.7%","5.1pp"
"Legolas, Counter of Kills","UG","U","29850","5.07","3460","7.50","7492","46.3%","1214","44.1%","2062","48.1%","3276","46.6%","4169","45.7%","0.9pp"
"Lotho, Corrupt Shirriff","WB","R","8585","3.94","1734","5.05","5184","53.4%","883","53.1%","1312","55.0%","2195","54.3%","2966","52.7%","1.6pp"
"Mauhúr, Uruk-hai Captain","BR","U","21575","3.57","6540","4.09","31891","59.1%","5502","63.6%","7837","59.5%","13339","61.2%","18579","57.6%","3.6pp"
"Merry, Esquire of Rohan","WR","R","7141","3.46","1670","4.15","5839","55.3%","1058","60.2%","1234","53.9%","2292","56.8%","3512","54.2%","2.6pp"
"The Mouth of Sauron","UB","U","23387","3.76","7353","4.39","31058","55.5%","4928","55.6%","9346","61.9%","14274","59.7%","16458","51.6%","8.2pp"
"Old Man Willow","BG","U","22438","3.69","5781","4.36","22447","54.3%","3723","55.3%","5909","60.8%","9632","58.7%","12761","50.9%","7.8pp"
"Pippin, Guard of the Citadel","WU","R","5905","3.05","1762","3.22","5318","53.0%","920","59.0%","1548","57.1%","2468","57.8%","2781","48.5%","9.3pp"
"Prince Imrahil the Fair","WU","U","27574","4.72","5101","6.02","14303","52.2%","2485","56.7%","4362","57.0%","6847","56.9%","7313","47.6%","9.3pp"
"Ringsight","UB","U","38974","6.81","5370","9.86","4829","51.1%","757","48.0%","1529","57.3%","2286","54.2%","2553","48.3%","5.9pp"
"Rise of the Witch-king","BG","U","29414","4.87","5076","6.53","14211","53.3%","2317","52.4%","3698","57.7%","6015","55.7%","8190","51.5%","4.1pp"
"Samwise Gamgee","WG","R","5542","2.74","1472","2.84","5994","52.5%","1055","58.0%","1547","55.3%","2602","56.4%","3326","49.2%","7.2pp"
"Saruman of Many Colors","WUB","M","2192","2.13","830","2.10","2699","48.1%","412","44.2%","829","53.1%","1241","50.1%","1417","45.9%","4.2pp"
"Sauron, the Dark Lord","UBR","M","1491","1.49","1042","1.42","5391","55.9%","898","59.4%","1548","63.4%","2446","61.9%","2857","50.5%","11.4pp"
"Sauron's Ransom","UB","R","7967","3.76","2192","4.41","6905","55.0%","1162","54.5%","2169","60.0%","3331","58.1%","3627","52.2%","5.9pp"
"Shadow Summoning","WB","U","27782","4.54","7740","5.26","30920","58.1%","5338","62.7%","7950","61.2%","13288","61.8%","17621","55.4%","6.4pp"
"Shadowfax, Lord of Horses","WR","U","28173","4.65","5651","6.00","19074","57.3%","3053","59.6%","4468","59.7%","7521","59.7%","11406","55.6%","4.1pp"
"Shagrat, Loot Bearer","BR","R","8656","3.99","1397","5.53","2770","56.2%","446","54.7%","671","58.3%","1117","56.8%","1666","55.6%","1.3pp"
"Sharkey, Tyrant of the Shire","UB","R","12519","5.52","1576","8.45","198","","29","","65","","94","","104","",""
"Shelob, Child of Ungoliant","BG","R","3809","1.95","1941","1.89","8790","54.1%","1400","53.8%","2361","59.0%","3761","57.0%","4989","51.5%","5.5pp"
"Sméagol, Helpful Guide","BG","R","4743","2.33","1711","2.35","6688","52.4%","1120","54.2%","1719","56.0%","2839","55.3%","3831","50.4%","4.8pp"
"Strider, Ranger of the North","RG","U","30529","5.11","4166","7.27","9896","52.7%","1568","54.2%","2402","54.7%","3970","54.5%","5902","51.5%","3.0pp"
"Théoden, King of Rohan","WR","U","24501","4.13","6069","4.78","24751","57.3%","4347","61.3%","5793","59.0%","10140","60.0%","14465","55.3%","4.7pp"
"Tom Bombadil","WUBRG","M","5104","4.41","681","6.53","65","","9","","25","","34","","31","",""
"Uglúk of the White Hand","BR","U","26005","4.22","4623","5.65","18602","56.6%","3059","55.1%","4520","55.8%","7579","55.5%","11065","57.3%","-1.8pp"
"Andúril, Flame of the West","","M","1139","1.06","1121","1.06","7105","61.0%","1218","71.1%","1916","70.5%","3134","70.7%","3963","53.2%","17.6pp"
"Barrow-Blade","","U","36725","6.07","4140","9.21","6136","54.1%","1046","53.9%","1472","52.2%","2518","52.9%","3616","54.9%","-2.0pp"
"Ent-Draught Basin","","U","39592","6.93","3750","10.62","1817","50.5%","307","42.0%","442","50.5%","749","47.0%","1065","53.1%","-6.1pp"
"Glamdring","","M","1926","1.95","754","1.97","3215","52.2%","525","46.5%","916","57.3%","1441","53.4%","1768","51.1%","2.2pp"
"Horn of Gondor","","R","2757","1.31","2298","1.28","13834","60.9%","2546","69.0%","3523","68.0%","6069","68.4%","7770","55.1%","13.3pp"
"Horn of the Mark","","R","5034","2.58","1222","2.83","4409","51.6%","752","47.3%","1039","50.9%","1791","49.4%","2616","53.1%","-3.7pp"
"Inherited Envelope","","C","106255","6.82","11592","10.26","15993","50.9%","2807","49.7%","4169","54.2%","6976","52.4%","8980","49.6%","2.8pp"
"Lembas","","C","105306","6.50","13118","9.56","24991","52.4%","4586","50.5%","8489","56.0%","13075","54.1%","13409","51.2%","2.8pp"
"Mirror of Galadriel","","U","37113","6.22","3765","9.59","4171","48.8%","687","45.6%","1121","51.1%","1808","49.0%","2351","48.6%","0.4pp"
"Mithril Coat","","R","4302","2.10","1111","2.23","4428","48.4%","702","43.2%","1098","46.7%","1800","45.3%","2611","50.4%","-5.1pp"
"The One Ring","","M","1496","1.49","781","1.47","3687","54.3%","639","53.2%","962","57.9%","1601","56.0%","2078","53.0%","3.0pp"
