"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Galadhrim Bow","G","C","133976","7.92","12761","11.72","11125","51.0%","1761","50.3%","2657","53.0%","4418","51.9%","6691","50.4%","1.6pp"
"Galadhrim Guide","G","C","126521","7.11","11919","10.56","21005","50.1%","3417","50.8%","5388","51.6%","8805","51.3%","12061","49.1%","2.2pp"
"Generous Ent","G","C","112085","5.50","15098","7.80","60986","53.5%","10626","53.3%","15489","57.2%","26115","55.6%","34577","51.7%","3.9pp"
"Gift of Strands","G","U","41770","5.86","4420","8.71","7995","50.3%","1193","51.0%","2054","54.0%","3247","52.9%","4712","48.5%","4.4pp"
"Glorfindel, Dauntless Rescuer","G","U","34051","4.55","4135","6.49","11800","49.3%","2007","48.0%","3076","51.8%","5083","50.3%","6622","48.6%","1.7pp"
"Last March of the Ents","G","M","4435","3.55","633","4.73","863","46.2%","115","","242","52.9%","357","46.8%","502","45.6%","1.2pp"
"Legolas, Master Archer","G","R","5330","2.18","1665","2.23","7412","50.5%","1290","52.5%","1842","52.3%","3132","52.4%","4274","48.8%","3.6pp"
"Long List of the Ents","G","U","45711","6.75","4970","10.26","3824","48.1%","629","52.5%","915","44.7%","1544","47.9%","2278","48.3%","-0.4pp"
"Lothlórien Lookout","G","C","120212","6.49","12499","9.34","36302","50.3%","6667","52.1%","8782","50.0%","15449","50.9%","20688","49.8%","1.1pp"
"Many Partings","G","C","123584","6.64","13835","9.53","39593","52.4%","7166","54.3%","9683","54.0%","16849","54.1%","22673","51.0%","3.1pp"
"Meriadoc Brandybuck","G","U","31429","4.15","5127","5.50","20745","52.5%","3762","56.6%","5046","55.2%","8808","55.8%","11847","50.1%","5.7pp"
"Mirkwood Spider","G","C","120887","6.36","12067","9.39","37104","52.9%","6672","54.3%","8860","54.0%","15532","54.1%","21326","51.8%","2.3pp"
"Mirrormere Guardian","G","C","127050","6.90","13552","9.98","35182","53.2%","6117","53.5%","8623","55.4%","14740","54.6%","20278","52.2%","2.4pp"
"Mushroom Watchdogs","G","C","119508","6.33","13819","8.91","41732","51.7%","7484","52.9%","9966","52.2%","17450","52.5%","24120","51.1%","1.4pp"
"Peregrin Took","G","U","29346","3.88","4569","5.05","17762","51.3%","3126","51.7%","4381","52.7%","7507","52.3%","10176","50.3%","1.9pp"
"Pippin's Bravery","G","C","135235","8.21","14065","11.82","14255","51.6%","2203","50.6%","3454","53.4%","5657","52.3%","8563","51.1%","1.1pp"
"Quickbeam, Upstart Ent","G","U","29504","3.87","5314","4.90","22529","52.4%","3503","50.6%","5680","57.0%","9183","54.6%","13188","50.6%","4.0pp"
"Radagast the Brown","G","M","2238","1.74","1060","1.69","4541","55.8%","760","62.9%","1268","60.4%","2028","61.3%","2506","51.4%","10.0pp"
"Revive the Shire","G","C","134824","8.05","13423","11.80","12574","49.8%","1941","45.5%","3243","53.2%","5184","50.3%","7375","49.6%","0.8pp"
"The Ring Goes South","G","R","13473","5.01","1512","8.11","479","","81","","124","","205","38.5%","273","39.6%","-1.0pp"
"Shortcut to Mushrooms","G","U","38479","5.38","4106","7.99","8422","48.2%","1363","41.4%","2057","48.1%","3420","45.4%","4980","50.0%","-4.5pp"
"Shower of Arrows","G","C","135321","8.35","11714","12.53","4673","47.2%","669","44.5%","1126","49.3%","1795","47.5%","2850","46.9%","0.6pp"
"Stew the Coneys","G","U","29018","3.68","5143","4.70","24127","52.5%","3955","50.4%","6263","56.1%","10218","53.9%","13839","51.5%","2.4pp"
"Wose Pathfinder","G","C","100508","4.88","13754","6.63","60571","53.0%","11188","56.2%","14309","54.0%","25497","55.0%","34893","51.4%","3.5pp"
"Aragorn, Company Leader","WG","R","5542","2.29","1898","2.30","7505","51.2%","1298","53.9%","1911","54.6%","3209","54.3%","4247","48.6%","5.7pp"
"Aragorn, the Uniter","WURG","M","3149","2.51","892","2.62","2678","50.1%","445","60.0%","723","55.7%","1168","57.4%","1486","44.4%","12.9pp"
"Arwen, Mortal Queen","WG","M","2139","1.79","1076","1.70","4925","57.2%","921","66.4%","1247","67.4%","2168","67.0%","2695","48.6%","18.4pp"
"Arwen Undómiel","UG","U","30392","4.37","4949","5.64","16354","51.1%","2913","56.6%","4628","54.4%","7541","55.3%","8684","47.3%","8.0pp"
"The Balrog, Durin's Bane","BR","R","5237","2.14","2557","2.15","12329","56.3%","1857","58.8%","3216","58.8%","5073","58.8%","7251","54.4%","4.4pp"
"Bilbo, Retired Burglar","UR","U","30120","4.21","8557","4.78","34813","56.9%","6046","60.6%","10559","61.3%","16605","61.1%","18096","53.2%","7.9pp"
"Butterbur, Bree Innkeeper","WG","U","34839","4.78","4665","6.68","13874","50.9%","2237","48.9%","3579","54.4%","5816","52.3%","7999","49.8%","2.5pp"
"Denethor, Ruling Steward","WB","U","26063","3.47","7979","3.97","35886","56.3%","6056","57.6%","9581","61.3%","15637","59.8%","20186","53.6%","6.3pp"
"Doors of Durin","RG","R","8005","3.43","1777","3.96","5318","52.5%","912","54.1%","1295","57.5%","2207","56.1%","3106","49.9%","6.2pp"
"Elrond, Master of Healing","UG","R","6324","2.75","1812","2.72","6232","50.0%","1020","55.1%","1871","55.1%","2891","55.1%","3282","45.5%","9.5pp"
"Éowyn, Fearless Knight","WR","R","5321","2.31","2652","2.25","12632","58.3%","2108","63.7%","2999","64.8%","5107","64.4%","7404","53.7%","10.6pp"
"Faramir, Prince of Ithilien","WU","R","4770","2.11","2749","1.96","13551","56.5%","2254","66.3%","4037","65.4%","6291","65.7%","7120","48.1%","17.6pp"
"Flame of Anor","UR","R","7659","3.14","2800","3.26","10987","55.2%","1853","57.4%","3819","60.8%","5672","59.7%","5643","51.1%","8.7pp"
"Friendly Rivalry","RG","U","42870","6.01","5547","8.62","10658","52.5%","1641","49.7%","2567","56.4%","4208","53.8%","6441","51.6%","2.1pp"
"Frodo Baggins","WG","U","28925","3.95","5741","4.82","21870","54.2%","3788","63.4%","5588","58.0%","9376","60.2%","12271","49.4%","10.7pp"
"Galadriel of Lothlórien","UG","R","6683","2.84","1802","2.91","6258","50.0%","1064","52.4%","1898","53.2%","2962","52.9%","3263","47.1%","5.8pp"
"Gandalf the Grey","UR","R","5684","2.39","2443","2.38","10654","53.3%","1832","51.6%","3624","57.5%","5456","55.5%","5521","51.5%","4.0pp"
"Gandalf's Sanction","UR","U","34159","4.68","9956","5.31","42474","56.3%","7040","53.2%","14938","63.3%","21978","60.1%","21122","52.4%","7.6pp"
"Gimli, Mournful Avenger","RG","R","10367","4.05","1563","5.63","3197","49.0%","535","49.0%","759","50.6%","1294","49.9%","1894","48.3%","1.7pp"
"Gwaihir the Windlord","WU","U","39651","5.53","5216","8.04","9857","49.3%","1525","46.9%","3099","52.6%","4624","50.7%","5155","47.7%","3.0pp"
"King of the Oathbreakers","WB","R","5316","2.20","2583","2.13","11353","54.8%","1860","56.7%","2947","58.1%","4807","57.5%","6425","52.5%","5.0pp"
"Legolas, Counter of Kills","UG","U","36848","5.15","4132","7.69","8580","46.9%","1391","44.8%","2356","48.4%","3747","47.1%","4776","46.3%","0.8pp"
"Lotho, Corrupt Shirriff","WB","R","10441","3.96","2063","5.13","6233","53.6%","1062","52.4%","1580","54.9%","2642","53.9%","3562","53.1%","0.8pp"
"Mauhúr, Uruk-hai Captain","BR","U","26140","3.54","7914","4.06","38955","59.1%","6790","63.3%","9628","59.4%","16418","61.0%","22573","57.8%","3.2pp"
"Merry, Esquire of Rohan","WR","R","8793","3.49","2034","4.19","7170","55.7%","1314","61.1%","1550","53.6%","2864","57.1%","4266","54.7%","2.3pp"
"The Mouth of Sauron","UB","U","28211","3.71","8969","4.33","38426","55.7%","6139","55.8%","11653","62.2%","17792","60.0%","20224","51.8%","8.2pp"
"Old Man Willow","BG","U","27309","3.70","6937","4.40","27184","54.4%","4557","55.5%","7142","60.6%","11699","58.6%","15419","51.1%","7.5pp"
"Pippin, Guard of the Citadel","WU","R","7234","3.07","2141","3.26","6483","53.1%","1130","59.8%","1900","58.1%","3030","58.7%","3373","48.0%","10.8pp"
"Prince Imrahil the Fair","WU","U","33753","4.72","6263","6.05","17803","52.2%","3114","56.0%","5430","57.5%","8544","57.0%","9101","47.6%","9.4pp"
"Ringsight","UB","U","47569","6.80","6653","9.83","6048","51.3%","941","48.6%","1907","56.3%","2848","53.8%","3207","49.0%","4.7pp"
"Rise of the Witch-king","BG","U","35944","4.89","6127","6.61","17320","53.6%","2782","52.6%","4495","58.0%","7277","55.9%","10039","51.9%","4.0pp"
"Samwise Gamgee","WG","R","6835","2.78","1759","2.95","7243","53.0%","1291","58.6%","1842","55.4%","3133","56.7%","4014","49.9%","6.8pp"
