"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bilbo, Retired Burglar","UR","U","28560","4.24","8022","4.81","32473","56.8%","5637","60.7%","9825","61.1%","15462","61.0%","16897","53.1%","7.9pp"
"Butterbur, Bree Innkeeper","WG","U","32707","4.77","4421","6.63","13270","50.9%","2137","49.2%","3421","53.9%","5558","52.1%","7656","49.9%","2.2pp"
"Denethor, Ruling Steward","WB","U","24590","3.48","7566","3.98","34023","56.4%","5737","57.6%","9090","61.5%","14827","60.0%","19137","53.6%","6.4pp"
"Doors of Durin","RG","R","7508","3.42","1673","3.93","5034","52.5%","864","53.9%","1221","57.3%","2085","55.9%","2943","50.0%","5.9pp"
"Elrond, Master of Healing","UG","R","5901","2.71","1713","2.67","5948","49.9%","974","55.5%","1773","54.8%","2747","55.0%","3144","45.3%","9.7pp"
"Éowyn, Fearless Knight","WR","R","5034","2.31","2517","2.25","11908","57.9%","1995","63.4%","2842","64.6%","4837","64.1%","6953","53.3%","10.8pp"
"Faramir, Prince of Ithilien","WU","R","4494","2.12","2579","1.97","12535","56.3%","2067","66.0%","3733","65.4%","5800","65.6%","6600","47.8%","17.8pp"
"Flame of Anor","UR","R","7243","3.14","2639","3.27","10304","55.1%","1744","57.5%","3555","60.7%","5299","59.6%","5310","51.0%","8.6pp"
"Friendly Rivalry","RG","U","40294","5.99","5234","8.57","10168","52.6%","1579","50.0%","2443","56.7%","4022","54.1%","6137","51.7%","2.4pp"
"Frodo Baggins","WG","U","27203","3.95","5431","4.80","20735","54.1%","3570","63.0%","5318","58.0%","8888","60.0%","11638","49.4%","10.7pp"
"Galadriel of Lothlórien","UG","R","6254","2.82","1722","2.86","6001","49.9%","1031","52.2%","1812","53.5%","2843","53.0%","3126","47.0%","6.0pp"
"Gandalf the Grey","UR","R","5342","2.39","2294","2.38","9926","53.2%","1696","51.5%","3357","57.4%","5053","55.4%","5165","51.4%","4.0pp"
"Gandalf's Sanction","UR","U","32285","4.70","9362","5.33","39833","56.3%","6585","53.2%","13994","63.4%","20579","60.1%","19834","52.5%","7.6pp"
"Gimli, Mournful Avenger","RG","R","9734","4.02","1484","5.58","3069","48.9%","514","48.8%","735","50.9%","1249","50.0%","1811","48.0%","2.0pp"
"Gwaihir the Windlord","WU","U","37381","5.52","4919","8.01","9404","49.4%","1462","47.0%","2952","52.8%","4414","50.9%","4913","47.8%","3.0pp"
"King of the Oathbreakers","WB","R","5006","2.19","2443","2.12","10749","55.0%","1760","56.8%","2793","58.1%","4553","57.6%","6079","52.8%","4.8pp"
"Legolas, Counter of Kills","UG","U","34519","5.11","3911","7.59","8307","46.8%","1358","44.8%","2281","48.5%","3639","47.1%","4616","46.1%","1.0pp"
"Lotho, Corrupt Shirriff","WB","R","9870","3.95","1961","5.11","5916","53.4%","1009","52.0%","1499","55.0%","2508","53.8%","3382","53.0%","0.8pp"
"Mauhúr, Uruk-hai Captain","BR","U","24723","3.56","7478","4.08","36881","59.1%","6423","63.4%","9078","59.5%","15501","61.1%","21412","57.7%","3.4pp"
"Merry, Esquire of Rohan","WR","R","8232","3.47","1919","4.16","6758","55.5%","1233","61.0%","1454","53.5%","2687","56.9%","4032","54.4%","2.6pp"
"The Mouth of Sauron","UB","U","26674","3.73","8465","4.34","36021","55.6%","5754","55.6%","10890","62.0%","16644","59.8%","18999","51.8%","8.0pp"
"Old Man Willow","BG","U","25750","3.69","6583","4.38","25806","54.4%","4340","55.6%","6785","60.5%","11125","58.6%","14618","51.0%","7.6pp"
"Pippin, Guard of the Citadel","WU","R","6787","3.07","2020","3.27","6112","53.1%","1063","59.5%","1791","57.6%","2854","58.3%","3180","48.3%","10.0pp"
"Prince Imrahil the Fair","WU","U","31820","4.72","5910","6.04","16797","52.2%","2944","56.1%","5134","57.4%","8078","56.9%","8577","47.5%","9.4pp"
"Ringsight","UB","U","44807","6.80","6234","9.84","5650","51.1%","882","48.0%","1776","56.5%","2658","53.6%","2999","48.7%","4.9pp"
